id,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-51E3B0728AA84B80900F-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,17 dk.,"14,1 km",MG-C1LGMZ7KTLQUDMPWOYLY,40.9696194,29.25556
DD-2729A173E658466E8724-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,14 dk.,"8,6 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
DD-9C3FB4DDD2BC4479BE0F-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"14,9 km",MG-LEOVSQ2VO3KGWOCAKQNX,40.967565,29.26595
DD-E2829945471F48D4B53E-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,25 dk.,"22,2 km",MG-7O7S0NFPBMDNXTHPC6FW,40.877863,29.23139
DD-8FAC95407EFF42BDA95E-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,13 dk.,"10,8 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
DD-FC69ED9A5FAE4E5C8D7F-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,13 dk.,"9,9 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-EBBFF40E81054196B397-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"9,8 km",MG-PLAUD8AN0LPMGFUJWAIO,40.9497961,29.173943
DD-E0E7DB21D0634FC98CAA-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,14 dk.,"10,8 km",MG-STQFARWCNFZ85VRF7ZRK,41.0250387,29.1066022
DD-3B1DD91194594B3795F0-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"10,5 km",MG-FPSXQ62YWQZ8GFRXNIUR,40.9191952,29.1641401
DD-008796393E6C4B10A752-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,12 dk.,"5,2 km",MG-MXSE2OEBH6HUM4ODCDN3,40.9511543,29.1021923
DD-477816D1144049D88601-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"10,0 km",MG-0YQN4Q7IEZGB3TKJWO8H,41.024865,29.087227
DD-65B8F8E7EADA433C9A3B-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,14 dk.,"7,3 km",MG-MIUDLTMHB4IBGMX7QI9M,41.0162646,29.17775
DD-4F504A23B2DB46309059-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,16 dk.,"13,3 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
DD-5E8013FABAAB4AE0A3C8-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"16,1 km",MG-3Y9X0UEV5LLRUAI9TMLQ,41.0443431,29.0453111
DD-3452F483FD4142CA96E3-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,15 dk.,"11,7 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
DD-12CDDA32BC3F4E35B498-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,22 dk.,"17,2 km",MG-VJEUBK1JZEQGFUY13AYK,41.049788,29.0545406
DD-F5B064EC094445B481D5-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,14 dk.,"12,0 km",MG-JMPF7MWR6SCBZIBCECIE,41.0005735,29.0673931
DD-7CF92955C1414259AE4D-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"14,8 km",MG-SQXXEQ2NDMBM6FYLKIVH,41.025016,29.0188198
DD-784D64D532E047659E1D-2023-2-5,MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,14 dk.,"11,3 km",MG-W8BLMRKFKLFOQI1NLTYU,41.03332899999999,29.10136
DD-BEB32952DC9A4B30A9F6-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,5 dk.,"2,0 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
DD-A08043C956F74FB5A4BC-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,16 dk.,"16,8 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
DD-201CBF9704FE4962ADE5-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,17 dk.,"10,5 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
DD-334B2247109845FC9AA2-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,17 dk.,"11,8 km",MG-EJNHCVEPCM9TCEP7WQT3,40.9901694,29.0239624
DD-A2D5428D6B564A7291E4-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,15 dk.,"6,8 km",MG-NJ56INKIZI4WVHA0SBRH,40.9680529,29.0663491
DD-754FA515CD1349519D0E-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"7,9 km",MG-OQKXLDBMXGBBSWW0MYXC,40.9688014,29.061672
DD-62134D2436F1410FAA95-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,17 dk.,"14,8 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
DD-45030F7ED410463A9455-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,13 dk.,"6,0 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
DD-31058482121844D0BCD9-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,13 dk.,"6,1 km",MG-2SYSVZEF8KLLWLVNFAQR,40.9718981,29.0739874
DD-7B83A8FB2F844F0A81BB-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,16 dk.,"13,5 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
DD-8187E24270E9495ABE1A-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,5 dk.,"2,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
DD-3655A4C878EF498C8C3C-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,21 dk.,"17,9 km",MG-8Y7P0IPO1TEELN1HDSZ9,41.0291666,29.2241438
DD-ADC0B1946A2F46C48F47-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,14 dk.,"7,4 km",MG-HOSMOXLSEJUNB6YAGKCM,40.98186700000001,29.0576302
DD-6C0EFFF9FF6E4E0C8106-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,7 dk.,"2,5 km",MG-YAWROOME9WOI7UMDOJBC,40.96451829999999,29.1072718
DD-F751B718C9D243908540-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,14 dk.,"9,5 km",MG-VU46JMWBFPWZB2Z6G4IO,41.011559,29.0384443
DD-D5E01127EA73480E8647-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,8 dk.,"4,0 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-4F098FE2FC644D80BD49-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"12,0 km",MG-4JCGOHYUHUOCVVHKVKGE,40.9737143,29.0549652
DD-032416E6052B45BF9033-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"11,9 km",MG-PJTPBQMDNFYF13IHOERG,40.908962,29.161173
DD-49310757142D454DA04D-2023-2-5,MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,22 dk.,"17,2 km",MG-X9VCUJWHQBVPQAGDMGXV,40.8888229,29.1874825
