current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,16 dk.,"6,0 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,7 dk.,"2,7 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,11 dk.,"5,0 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,33 dk.,"17,1 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,18 dk.,"6,5 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,9 dk.,"2,9 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,32 dk.,"13,5 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,11 dk.,"4,0 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,7 dk.,"2,3 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,21 dk.,"14,7 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,39 dk.,"29,1 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,20 dk.,"15,1 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,15 dk.,"10,7 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,23 dk.,"16,0 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,36 dk.,"25,4 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,10 dk.,"3,6 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,9 dk.,"3,7 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,38 dk.,"26,6 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,34 dk.,"25,7 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,43 dk.,"24,6 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,25 dk.,"18,5 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,37 dk.,"27,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,19 dk.,"15,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,20 dk.,"6,7 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,5 dk.,"1,8 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,20 dk.,"6,8 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,34 dk.,"26,0 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,22 dk.,"16,7 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,26 dk.,"18,4 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,40 dk.,"29,0 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,34 dk.,"16,2 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
