store_id,store_location,store_address,latitude,longitude,depot_id
MG-8Y7P0IPO1TEELN1HDSZ9,İST TAŞDELEN CD,"Sultançiftliği mahallesi Turgut Özal Caddesi No:89 93H/ÇEKMEKÖY, İSTANBUL",41.0291666,29.2241438,DP-9NCBLLHI6RU2U7SXDNRH
MG-3IZZSUUU6FDKQLKWHOPB,İST AYŞE ÇAVUŞ CD,"Suadiye Mahallesi Ayşe Çavuş Cad. 30/1A/KADIKÖY, İSTANBUL",40.9633215,29.0860626,DP-9NCBLLHI6RU2U7SXDNRH
MG-FUHNVEMA2ZKC0HFBTCUT,İST BAĞDAT CD,"Suadiye Mah. Bağdar cad. no:378/B Zümrüt Apt./KADIKÖY, İSTANBUL",40.96255,29.075716,DP-9NCBLLHI6RU2U7SXDNRH
MG-ZEYXNPOOQRFFM17CVHT4,İST BAHARİYE CD,"BAHARİYE CAD.OSMANAĞA M.NO:11 BAHARİYE/KADIKÖY, İSTANBUL",40.9892774,29.0288635,DP-9NCBLLHI6RU2U7SXDNRH
MG-OQKXLDBMXGBBSWW0MYXC,İST CADDEBOSTAN CD,"Caddebostan Mahallesi, Bağdat Caddesi, Şirin Apartmanı No:29/KADIKÖY, İSTANBUL",40.9688014,29.061672,DP-9NCBLLHI6RU2U7SXDNRH
MG-EJNHCVEPCM9TCEP7WQT3,İST CAFERAĞA CD,"Caferağa Mh.Muvakkıthane Cd.No:12/A/KADIKÖY, İSTANBUL",40.9901694,29.0239624,DP-9NCBLLHI6RU2U7SXDNRH
MG-4JCGOHYUHUOCVVHKVKGE,İST ÇİFTEHAVUZLAR CD,"Bağdat Cad.Çiftehavuzlar No:220/A/KADIKÖY, İSTANBUL",40.9737143,29.0549652,DP-9NCBLLHI6RU2U7SXDNRH
MG-NJ56INKIZI4WVHA0SBRH,İST ERENKÖY CD,"Caddebostan Mahallesi Bağdat Cad/KADIKÖY, İSTANBUL",40.9680529,29.0663491,DP-9NCBLLHI6RU2U7SXDNRH
MG-2SYSVZEF8KLLWLVNFAQR,İST ETHEMEFENDİ CD,"Erenköy Mh., Ethem Efendi Cd. No 52/A Yıldız Apt./KADIKÖY, İSTANBUL",40.9718981,29.0739874,DP-9NCBLLHI6RU2U7SXDNRH
MG-KTQH2ADWMARCG0DLHWKX,İST GÖZTEPE 2 CD,"Tuğlacıbaşı Mh.Fahrettin Kerim Gökay Cd. Halit Bey Apt 110/A/KADIKÖY, İSTANBUL",40.9845564,29.0477845,DP-9NCBLLHI6RU2U7SXDNRH
MG-N5F1BSFYCBSWFCMPENYG,İST GÖZTEPE İST. CD,"Tütüncü Mehmet Efendi Cad.No:87/A/KADIKÖY, İSTANBUL",40.979588,29.0669776,DP-9NCBLLHI6RU2U7SXDNRH
MG-7XO7X914F4YUUW5WBHF0,İST HALİTAĞA CD,"Osmanağa Mahallesi Halitağa Caddesi No:20/A/KADIKÖY, İSTANBUL",40.9918965,29.0290998,DP-9NCBLLHI6RU2U7SXDNRH
MG-HOSMOXLSEJUNB6YAGKCM,İST KAZASKER CD,"19MayısMhŞemsettinGünaltanCdNo150/A/KADIKÖY, İSTANBUL",40.98186700000001,29.0576302,DP-9NCBLLHI6RU2U7SXDNRH
MG-VU46JMWBFPWZB2Z6G4IO,İST KOŞUYOLU CD,"Koşuyolu Mah. Koşuyolu Cad. No : 4/A/KADIKÖY, İSTANBUL",41.011559,29.0384443,DP-9NCBLLHI6RU2U7SXDNRH
MG-ZWI9E420TRNGRORREXG7,İST KOZYATAĞI İNÖNÜ CD,"Sahrayıcedit Mahallesi İnönü Caddesi No:20/A/KADIKÖY, İSTANBUL",40.9899141,29.0844299,DP-9NCBLLHI6RU2U7SXDNRH
MG-YAWROOME9WOI7UMDOJBC,İST KOZZY AVM,"Kozyatağı Mah.Buket Sok.Bo:20/1 Mağaza No: B105/KADIKÖY, İSTANBUL",40.96451829999999,29.1072718,DP-9NCBLLHI6RU2U7SXDNRH
