current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,7 dk.,"3,6 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,29 dk.,"26,0 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,5 dk.,"1,9 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,9 dk.,"3,4 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"14,3 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,3 dk.,"1,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"7,8 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,6 dk.,"2,5 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,6 dk.,"2,1 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,3 dk.,"1,1 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,15 dk.,"6,0 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,7 dk.,"3,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,9 dk.,"3,5 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,19 dk.,"17,3 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,29 dk.,"25,8 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,19 dk.,"8,2 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,21 dk.,"18,5 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,18 dk.,"16,7 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,19 dk.,"15,8 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,23 dk.,"18,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
