route,latitude,longitude
1,40.919,29.164          
1,40.889,29.20
1,41.008,29.050
1,41.025,29.087
2,40.931,29.214
2,40.918,29.221
2,40.982,29.133
2,40.969,29.062
2,41.019,29.058
2,41.021,29.040
2,40.986,29.066
3,40.972,29.074
3,40.963,29.086
3,40.990,29.084
3,41.034,29.182
3,40.968,29.266
