current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,22 dk.,"20,0 km",MG-PHFEHG3TXK15NYAUAKJV,41.0187193,29.1921149
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,19 dk.,"16,6 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,19 dk.,"16,1 km",MG-WUCMUKQH4AYLUTRTG8LC,41.0253685,29.094
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,3 dk.,"1,6 km",MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,17 dk.,"15,3 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,15 dk.,"9,0 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,20 dk.,"15,5 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171,20 dk.,"13,2 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,8 dk.,"3,1 km",MG-GECDC2C5HLV93LCXOZ7S,40.9436066,29.1130171
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,15 dk.,"9,5 km",MG-IA4YWZI8ZSBHVNYXTU3B,40.9313247,29.2141777
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,15 dk.,"10,1 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,20 dk.,"17,7 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,18 dk.,"16,4 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
MG-CYVLXXHQB244PVVXVYU5,40.9331636,29.12641279999999,21 dk.,"14,3 km",MG-BMYMWJ7TWHQPXZQNIFJV,41.0189417,29.0576298
