store_id,store_location,store_address,latitude,longtitute
MG-CEDQAJNDAVIO6SAUBPVX,İST MERDİVENKÖY CD,"Tuğlacıbaşı (Merdivenköy) Mah. Fahrettin Ker. Gök. Cd. 163/B/KADIKÖY, İSTANBUL",40.9864251,29.066357
MG-FCQILG1RYT2W2HNIYPZC,İST MODA CD,"Caferağa Mah. Moda Cad. No:140/A/KADIKÖY, İSTANBUL",40.983599,29.0237147
MG-HKDDSLZ7DHNEXPDPO6OX,İST NAUTILUS AVM,"Fatih Cad. No:1, 117 Nolu Mağaza, Acıbadem/KADIKÖY, İSTANBUL",41.0010389,29.029593
MG-RCSKVKLO3QBCFEDUVI8R,İST ANATOLIUM IKEA AVM,"Soğanlık Yeni Mah., soğanlık D100 Kuzey Yan Yol Cad, No: 72/KARTAL, İSTANBUL",41.062252,28.7524657
MG-OFSTOW3XC0I7KLN25IWP,İST KARTAL ATALAR CD,"Atalar Mahallesi Üsküdar Caddesi No:79/1B/KARTAL, İSTANBUL",40.899417,29.168842
MG-PJTPBQMDNFYF13IHOERG,İST KARTAL CEV CD,"Orhantepe Mh., Cevizler Mevkiinde Çınar Cd., No:19/KARTAL, İSTANBUL",40.908962,29.161173
MG-X9VCUJWHQBVPQAGDMGXV,İST KARTAL ÇARŞI CD,"Kordonboyu Mahallesi Ankara Caddesi No:27/KARTAL, İSTANBUL",40.8888229,29.1874825
MG-IRNSVKMNCXT4NDYFXQAD,İST KRT SOĞANLIK CD,"Orta Mahalle, Atatürk Caddesi, No: 120/A/KARTAL, İSTANBUL",40.9184004,29.2204548
MG-E6HEGRWU1J4PBBGLINBN,İST MARİNA AVM,"Çavuşoğlu Mah. Ankara Cad. 147/6 Marina AVM 2.bodrum kat/KARTAL, İSTANBUL",40.889254,29.2001113
MG-IA4YWZI8ZSBHVNYXTU3B,İST UĞURMUMCU CD,"Uğur Mumcu mahallesi Şeyh Şamil cad. no:13/ CC/KARTAL, İSTANBUL",40.9313247,29.2141777
MG-MXSE2OEBH6HUM4ODCDN3,İST ALTINTEPE CD,"Küçükyalı Mh.Bağdat Cd.No:66 Süheyl Denizler Apt./MALTEPE, İSTANBUL",40.9511543,29.1021923
MG-VISH8POGEX9TDVOGRACE,İST BAĞLARBAŞI CD,"Bağlarbaşı Mahallesi Bağdat Caddesi No: 382/A/MALTEPE, İSTANBUL",40.9227085,29.1342212
MG-PLAUD8AN0LPMGFUJWAIO,İST FUAYE ÇARŞI AVM,"Zümrütevleri Mah. Yol 5 Sokak, No:10, 10A ve 10B, zemin kat/MALTEPE, İSTANBUL",40.9497961,29.1739439
MG-0IPQOYIPCM4EQ8L5OLBI,İST HİLLTOWN AVM,"Aydınevler Mahallesi Siteler Yolu Sokak No:1 Hiltown AVM B2/MALTEPE, İSTANBUL",40.9526798,29.1218732
MG-GECDC2C5HLV93LCXOZ7S,İST K.YALI ÇINAR CD,"Çınar Mah.Bağdat Cad. No:146/B/MALTEPE, İSTANBUL",40.9436066,29.1130171
MG-CYVLXXHQB244PVVXVYU5,İST MALTEPE MESA CD,"Feyzullah Mahallesi Bağdat Caddesi No:276/A/MALTEPE, İSTANBUL",40.9331636,29.12641279999999
MG-FPSXQ62YWQZ8GFRXNIUR,İST MALTEPE PARK AVM,"Tugay Yolu No:67, 0048/MALTEPE, İSTANBUL",40.9191952,29.1641401
MG-FYEKUDWVT2HT9PHGOHQW,İST MLTP ATATÜRK CD,"Feyzullah mah. Atatürk caddesi No:8/10D/MALTEPE, İSTANBUL",40.9227993,29.1298266
MG-PB1BQVMGF5OMPTYQKXFX,İST PİAZZA AVM,"Ceviz mah. Tugay yolu cd. no:69C Maltepe Piazza avm C blok 1/MALTEPE, İSTANBUL",40.9194316,29.1668144
MG-WZHAOPZ0KLRM0T1ZN6U7,İST KAYNARCA CD,"Kaynarca Mahallesi Deniz Caddesi No:38/C Pendik/İstanbul/PENDİK, İSTANBUL",40.8765881,29.2596582
MG-VVESJOL8ESQXP6VK308G,İST KURTKÖY BAKÜ CD,"Kurtköy mahallesi Bakü caddesi No: 3BG/PENDİK, İSTANBUL",40.9193435,29.3015336
MG-RBMDEQFETZUYWELTUTS7,İST KURTKÖY LENS AVM,"Yenişehir Mahallesi Sümbül Sokak Lens İstanbul C Blok No:2AC/PENDİK, İSTANBUL",40.9273563,29.3109779
MG-SWNY7GTJBI89E08T4JFL,İST MARİNTÜRK AVM,"Batı mah. Sahil yolu Marintürk İST City Port TİC MRKZ B Blok/PENDİK, İSTANBUL",40.8712304,29.2319842
MG-R3US4EXI19IFYPJGBGGE,İST NEOMARİN AVM,"Kaynarca Mh., Elka Sk, E5 Üzeri, No:9 Mğz No: ZkK02/PENDİK, İSTANBUL",40.879326,29.258135
MG-7O7S0NFPBMDNXTHPC6FW,İST PENDİK 19 MAY CD,"Batı Mahallesi, 19 Mayıs Caddesi No:26/D ve 26/C Pendik/PENDİK, İSTANBUL",40.877863,29.23139
